"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do"
"1","2021/09/02","08:51:05",-0.5176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021/09/02","08:51:05",-0.5176,NA,NA,NA,NA,NA,NA,0.48,0.48,NA,NA,NA,NA,NA
"3","2021/09/02","08:51:05",-0.5176,28.372,21.416,36.451,33933.412,1012.098,12.1,0.57,0.57,NA,NA,NA,NA,NA
"4","2021/09/02","08:51:05",-0.5176,28.317,21.454,36.471,33991.006,NA,NA,0.59,0.59,NA,NA,NA,NA,NA
"5","2021/09/02","08:51:05",-0.5176,28.307,21.455,36.466,33993.048,NA,NA,0.6,0.6,NA,NA,NA,NA,NA
"6","2021/09/02","08:51:05",-0.5176,28.301,21.464,36.476,34006.451,NA,NA,0.6,0.6,NA,NA,NA,NA,NA
"7","2021/09/02","08:51:05",-0.5176,28.293,21.469,36.478,34013.593,NA,NA,0.6,0.6,NA,NA,NA,NA,NA
"8","2021/09/02","08:51:05",-0.5176,NA,NA,36.487,NA,NA,NA,0.6,0.6,NA,NA,NA,NA,NA
"9","2021/09/02","08:51:05",-0.5176,28.298,21.475,36.491,NA,NA,NA,0.6,0.6,NA,NA,NA,NA,NA
"10","2021/09/02","08:51:06",-0.5176,28.307,21.471,36.491,34016.203,NA,NA,0.6,0.6,NA,NA,NA,NA,NA
"11","2021/09/02","08:51:06",-0.5176,28.305,21.468,36.485,34012.168,NA,NA,0.6,0.6,NA,NA,NA,NA,NA
"12","2021/09/02","08:51:06",-0.5176,28.323,21.458,36.482,33996.357,NA,NA,0.58,0.58,NA,NA,NA,NA,NA
"13","2021/09/02","08:51:06",-0.5176,28.333,21.45,36.477,33984.82,1012.136,12.138,0.58,0.58,1.08,NA,NA,NA,NA
"14","2021/09/02","08:51:06",-0.5176,28.347,21.434,36.461,33960.161,1012.119,12.121,0.6,0.6,NA,NA,NA,NA,NA
"15","2021/09/02","08:51:06",-0.5176,28.357,21.42,36.447,33939.815,1012.105,12.107,0.6,0.6,1.09,NA,NA,NA,NA
"16","2021/09/02","08:51:06",-0.5176,28.357,21.41,36.431,33925.021,1012.097,12.1,0.58,0.58,1.02,NA,NA,NA,NA
"17","2021/09/02","08:51:06",-0.4979,28.347,21.43,36.455,33954.232,1012.116,12.118,0.57,0.57,1.05,NA,NA,NA,NA
"18","2021/09/02","08:51:06",-0.4979,28.333,21.428,36.442,33952.654,1012.119,12.121,0.57,0.57,1.08,NA,NA,NA,NA
"19","2021/09/02","08:51:06",-0.5176,28.326,21.422,36.428,33944.542,1012.117,12.119,0.57,0.57,NA,NA,NA,NA,NA
"20","2021/09/02","08:51:07",-0.4979,28.329,21.423,36.432,33946.348,1012.117,12.119,0.57,0.57,NA,NA,NA,NA,NA
"21","2021/09/02","08:51:07",-0.5176,28.334,21.421,36.432,33942.007,1012.113,12.115,0.57,0.57,1.07,NA,NA,NA,NA
"22","2021/09/02","08:51:07",-0.5176,28.333,21.42,36.43,33941.236,1012.113,12.115,0.57,0.57,1.07,NA,NA,NA,NA
"23","2021/09/02","08:51:07",-0.5176,28.328,21.426,36.436,33950.562,1012.119,12.121,0.58,0.58,1.09,NA,NA,NA,NA
"24","2021/09/02","08:51:07",-0.5176,28.32,21.43,36.436,33955.992,1012.124,12.127,0.58,0.58,NA,NA,NA,NA,NA
"25","2021/09/02","08:51:07",-0.4979,28.322,21.428,36.434,33953.026,1012.122,12.125,0.57,0.57,NA,NA,NA,NA,NA
"26","2021/09/02","08:51:07",-0.5176,28.315,21.417,36.413,33938.118,1012.116,12.119,0.57,0.57,NA,NA,NA,NA,NA
"27","2021/09/02","08:51:07",-0.4979,28.31,21.422,36.416,33944.6,1012.121,12.124,0.55,0.55,NA,NA,NA,NA,NA
"28","2021/09/02","08:51:07",-0.5176,28.32,21.429,36.435,33954.921,1012.124,12.126,0.57,0.57,NA,NA,NA,NA,NA
"29","2021/09/02","08:51:07",-0.5176,28.331,21.444,36.465,33975.302,1012.131,12.133,0.55,0.55,NA,NA,NA,NA,NA
"30","2021/09/02","08:51:08",-0.5176,28.342,21.451,36.484,33984.994,1012.133,12.135,0.54,0.54,NA,NA,NA,NA,NA
"31","2021/09/02","08:51:08",-0.5176,28.34,21.437,36.461,33964.835,1012.123,12.125,0.54,0.54,NA,NA,5.902,NA,NA
"32","2021/09/02","08:51:08",-0.5176,28.327,21.423,36.43,33945.493,1012.117,12.119,0.54,0.54,NA,NA,5.882,NA,NA
"33","2021/09/02","08:51:08",-0.5176,28.324,21.419,36.422,33939.99,1012.115,12.117,0.54,0.54,1.08,NA,5.865,NA,NA
"34","2021/09/02","08:51:08",-0.5176,28.321,21.422,36.425,33944.558,1012.118,12.12,0.55,0.55,NA,NA,5.845,NA,NA
"35","2021/09/02","08:51:08",-0.4979,28.318,21.425,36.427,33948.478,1012.121,12.123,0.54,0.54,1.05,NA,5.831,NA,NA
"36","2021/09/02","08:51:08",-0.5176,28.319,21.426,36.43,33950.742,1012.122,12.124,0.54,0.54,1.02,NA,5.82,NA,NA
"37","2021/09/02","08:51:08",-0.5176,28.324,21.423,36.429,33946.496,1012.118,12.12,0.54,0.54,1.02,NA,5.808,NA,NA
"38","2021/09/02","08:51:08",-0.4979,28.345,21.412,36.427,33929.574,1012.103,12.106,0.54,0.54,1.04,NA,5.793,NA,NA
"39","2021/09/02","08:51:08",-0.4979,28.351,21.411,36.428,33927.347,1012.101,12.103,0.55,0.55,NA,NA,5.779,NA,NA
"40","2021/09/02","08:51:09",-0.5176,28.342,21.416,36.43,33935.623,1012.107,12.11,0.55,0.55,NA,NA,5.762,7.53,NA
"41","2021/09/02","08:51:09",-0.5372,28.335,21.41,36.416,33926.93,1012.105,12.107,0.55,0.55,1.04,83.29,5.737,NA,NA
"42","2021/09/02","08:51:09",-0.5176,28.331,21.413,36.419,33931.612,1012.108,12.111,0.56,0.56,1,83,5.717,NA,NA
"43","2021/09/02","08:51:09",-0.5176,28.331,21.413,36.418,33931.78,1012.108,12.111,0.56,0.56,0.95,82.76,5.701,NA,NA
"44","2021/09/02","08:51:09",-0.5372,28.329,21.416,36.421,33935.49,1012.111,12.113,0.54,0.54,0.95,82.5,5.683,7.52,NA
"45","2021/09/02","08:51:09",-0.5372,28.325,21.42,36.425,33942.335,1012.116,12.118,0.54,0.54,0.92,82.13,5.657,NA,NA
"46","2021/09/02","08:51:09",-0.5176,28.332,21.418,36.427,33939.102,1012.112,12.114,0.56,0.56,0.91,81.89,5.641,7.52,NA
"47","2021/09/02","08:51:09",-0.5176,28.342,21.413,36.426,33930.742,1012.105,12.107,0.55,0.55,0.9,81.65,5.625,7.52,NA
"48","2021/09/02","08:51:09",-0.5176,28.344,21.414,36.429,33932.691,1012.105,12.108,0.53,0.53,0.9,81.44,5.611,7.52,NA
"49","2021/09/02","08:51:09",-0.5176,28.343,21.422,36.439,33942.842,1012.111,12.113,0.53,0.53,0.92,81.23,5.595,7.53,NA
"50","2021/09/02","08:51:10",-0.5372,28.344,21.424,36.444,33946.449,1012.112,12.115,0.54,0.54,0.9,81.03,5.58,7.52,NA
"51","2021/09/02","08:51:10",-0.5176,28.358,21.413,36.436,33929.19,1012.099,12.102,0.54,0.54,0.88,80.85,5.568,7.53,NA
"52","2021/09/02","08:51:10",-0.5176,28.359,21.405,36.426,33919.01,NA,NA,0.54,0.54,0.88,80.68,5.557,7.53,NA
"53","2021/09/02","08:51:10",-0.5176,28.348,21.407,36.421,33922.115,1012.099,12.101,0.53,0.53,0.88,80.62,5.553,7.53,NA
"54","2021/09/02","08:51:10",-0.5176,28.341,21.41,36.42,33926.651,1012.103,12.105,0.54,0.54,0.91,80.52,5.546,7.54,NA
"55","2021/09/02","08:51:10",-0.5176,28.333,21.413,36.419,33930.949,1012.107,12.11,0.55,0.55,0.91,80.37,5.536,7.54,NA
"56","2021/09/02","08:51:10",-0.5176,28.328,21.415,36.419,33934.104,1012.11,12.113,0.55,0.55,0.94,80.3,5.531,7.53,NA
"57","2021/09/02","08:51:10",-0.5176,28.327,21.417,36.421,33937.07,1012.112,12.115,0.54,0.54,0.92,80.06,5.515,7.53,NA
"58","2021/09/02","08:51:10",-0.5176,28.328,21.417,36.422,33937.21,1012.112,12.115,0.54,0.54,0.94,79.9,5.504,7.53,NA
"59","2021/09/02","08:51:10",-0.5176,28.328,21.418,36.423,33938.629,1012.113,12.115,0.53,0.53,1.01,79.85,5.501,7.55,NA
"60","2021/09/02","08:51:11",-0.5176,28.325,21.422,36.427,33944.085,1012.117,12.119,0.53,0.53,0.92,79.69,5.49,7.54,NA
"61","2021/09/02","08:51:11",-0.5176,28.326,21.424,36.431,33946.95,1012.118,12.12,0.53,0.53,0.88,79.69,5.49,NA,NA
"62","2021/09/02","08:51:11",-0.5372,28.327,21.425,36.433,33948.27,1012.118,12.121,0.53,0.53,0.88,79.58,5.482,7.54,NA
"63","2021/09/02","08:51:11",-0.5176,28.327,21.426,36.435,33950.182,1012.119,12.121,0.6,0.6,0.91,79.46,5.474,7.54,NA
"64","2021/09/02","08:51:11",-0.4979,28.328,21.427,36.438,33951.891,1012.12,12.122,NA,NA,0.92,79.37,5.467,7.54,NA
"65","2021/09/02","08:51:11",-0.5176,28.33,21.425,36.436,33948.288,1012.117,12.12,NA,NA,0.92,79.35,5.465,7.53,NA
"66","2021/09/02","08:51:11",-0.4979,28.332,21.425,36.436,33948.004,1012.117,12.119,0.57,0.57,0.9,79.2,5.455,7.53,NA
"67","2021/09/02","08:51:11",-0.5176,28.332,21.428,36.441,33952.43,1012.119,12.121,0.53,0.53,0.91,79.13,5.449,7.54,NA
"68","2021/09/02","08:51:11",-0.5176,28.337,21.429,36.446,33953.277,1012.118,12.12,0.54,0.54,0.94,79.06,5.445,7.54,NA
"69","2021/09/02","08:51:11",-0.5176,28.357,21.418,36.444,33936.943,1012.104,12.106,0.52,0.52,0.95,79.04,5.444,7.53,NA
"70","2021/09/02","08:51:12",-0.5176,28.36,21.414,36.439,33930.8,1012.1,12.102,0.51,0.51,0.95,78.96,5.437,7.53,NA
"71","2021/09/02","08:51:12",-0.5176,28.349,21.421,36.442,33941.936,1012.109,12.111,0.51,0.51,0.95,78.85,5.427,7.53,NA
"72","2021/09/02","08:51:12",-0.4979,28.336,21.426,36.441,33949.561,1012.116,12.119,0.51,0.51,0.91,78.77,5.421,7.54,NA
"73","2021/09/02","08:51:12",-0.5176,28.33,21.431,36.444,33956.444,1012.122,12.124,0.52,0.52,0.9,78.74,5.42,7.53,NA
"74","2021/09/02","08:51:12",-0.5176,28.328,21.43,36.441,33955.219,1012.122,12.124,0.52,0.52,0.91,78.72,5.42,7.54,NA
"75","2021/09/02","08:51:12",-0.5176,28.323,21.425,36.431,33949.202,1012.12,12.122,0.53,0.53,0.94,78.6,5.412,7.54,NA
"76","2021/09/02","08:51:12",-0.5176,28.317,21.43,36.434,33955.84,1012.125,12.127,0.55,0.55,0.94,78.64,5.415,7.53,NA
"77","2021/09/02","08:51:12",-0.5176,28.314,21.435,36.44,33963.832,1012.13,12.132,0.54,0.54,0.92,78.58,5.411,7.54,NA
"78","2021/09/02","08:51:12",-0.4979,28.314,21.439,36.446,33969.166,1012.133,12.135,0.54,0.54,0.88,78.56,5.41,7.54,NA
"79","2021/09/02","08:51:12",-0.4979,28.312,21.442,36.449,33973.381,1012.136,12.138,0.51,0.51,0.9,78.59,5.412,7.54,NA
"80","2021/09/02","08:51:13",-0.5176,28.315,21.441,36.45,33972.769,1012.134,12.137,0.51,0.51,0.91,78.58,5.412,7.53,NA
"81","2021/09/02","08:51:13",-0.4979,28.33,21.436,36.453,33964.402,1012.126,12.128,0.52,0.52,1.01,78.46,5.403,7.53,NA
"82","2021/09/02","08:51:13",-0.5176,28.343,21.43,36.452,33954.86,1012.117,12.119,0.51,0.51,0.94,78.53,5.408,7.53,NA
"83","2021/09/02","08:51:13",-0.5176,28.342,21.426,36.445,33949.033,1012.114,12.117,0.51,0.51,0.97,78.55,5.409,7.54,NA
"84","2021/09/02","08:51:13",-0.5176,28.346,21.413,36.428,33930.262,1012.103,12.106,0.51,0.51,0.9,78.54,5.409,7.54,NA
